Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QA","Élevage","49","Cuba","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","32416","","Donnée officielle"
"QA","Élevage","54","Danemark","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","18981","","Donnée officielle"
"QA","Élevage","55","Dominique","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","200","F","Estimation FAO"
"QA","Élevage","59","Égypte","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","140200","F","Estimation FAO"
"QA","Élevage","60","El Salvador","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","15500","F","Estimation FAO"
"QA","Élevage","225","Émirats arabes unis","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","21500","F","Estimation FAO"
"QA","Élevage","58","Équateur","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","163730","","Donnée officielle"
"QA","Élevage","178","Érythrée","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1400","F","Estimation FAO"
"QA","Élevage","203","Espagne","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","138000","F","Estimation FAO"
"QA","Élevage","63","Estonie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","2097","","Donnée officielle"
"QA","Élevage","209","Eswatini","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3700","F","Estimation FAO"
"QA","Élevage","231","États-Unis d'Amérique","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1945900","*","Chiffre non officiel"
"QA","Élevage","238","Éthiopie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","51350","","Donnée officielle"
"QA","Élevage","185","Fédération de Russie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","446789","","Donnée officielle"
"QA","Élevage","66","Fidji","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4900","F","Estimation FAO"
"QA","Élevage","67","Finlande","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","6861","","Donnée officielle"
"QA","Élevage","68","France","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","251581","","Donnée officielle"
"QA","Élevage","74","Gabon","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3200","F","Estimation FAO"
"QA","Élevage","75","Gambie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1300","F","Estimation FAO"
"QA","Élevage","73","Géorgie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","5760","*","Chiffre non officiel"
"QA","Élevage","81","Ghana","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","63732","","Donnée officielle"
